#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D28C
#Date Time: 2023-02-25 12:02:52.959
#Sample rate: 800Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 mV/div Offset: -2.615 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Sweep
#Type: Square
#Frequency: 5 Hz
#Period: 200 ms
#Amplitude: 2 V
#Offset: 2 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Disabled
#Mode: Simple
#Type: DC
#Offset: 0 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

#49E sensor
#Nominal sensitivity: 1.6 mV/GS
#PCB Coil Drive: 1.6A, 5Hz, full stepping
#
Time (s),Channel 1 (V)
3.31875,2.639193109022775
3.32,2.63851910205379
3.32125,2.639867115991761
3.3225,2.638182098569297
3.32375,2.637171088115819
3.325,2.637171088115819
3.32625,2.637171088115819
3.3275,2.637508091600312
3.32875,2.637845095084804
3.33,2.638856105538283
3.33125,2.638182098569297
3.3325,2.637171088115819
3.33375,2.636834084631326
3.335,2.639193109022775
3.33625,2.639193109022775
3.3375,2.639193109022775
3.33875,2.638856105538283
3.34,2.637171088115819
3.34125,2.637508091600312
3.3425,2.637508091600312
3.34375,2.637508091600312
3.345,2.637845095084804
3.34625,2.639530112507268
3.3475,2.638856105538283
3.34875,2.637508091600312
3.35,2.633127046301907
3.35125,2.633464049786399
3.3525,2.633464049786399
3.35375,2.633464049786399
3.355,2.63481206372437
3.35625,2.632116035848429
3.3575,2.632116035848429
3.35875,2.631779032363936
3.36,2.632453039332921
3.36125,2.632116035848429
3.3625,2.633464049786399
3.36375,2.634138056755385
3.365,2.631779032363936
3.36625,2.632116035848429
3.3675,2.632116035848429
3.36875,2.633464049786399
3.37,2.632116035848429
3.37125,2.632116035848429
3.3725,2.632790042817414
3.37375,2.630431018425965
3.375,2.630094014941473
3.37625,2.630431018425965
3.3775,2.630768021910458
3.37875,2.630768021910458
3.38,2.632453039332921
3.38125,2.631105025394951
3.3825,2.630094014941473
3.38375,2.630431018425965
3.385,2.632116035848429
3.38625,2.631779032363936
3.3875,2.632116035848429
3.38875,2.632790042817414
3.39,2.630431018425965
3.39125,2.630431018425965
3.3925,2.630431018425965
3.39375,2.630431018425965
3.395,2.630768021910458
3.39625,2.632116035848429
3.3975,2.631779032363936
3.39875,2.630431018425965
3.4,2.630431018425965
3.40125,2.631105025394951
3.4025,2.632116035848429
3.40375,2.631779032363936
3.405,2.632116035848429
3.40625,2.630768021910458
3.4075,2.630431018425965
3.40875,2.630094014941473
3.41,2.630768021910458
3.41125,2.630768021910458
3.4125,2.631105025394951
3.41375,2.632116035848429
3.415,2.630094014941473
3.41625,2.62975701145698
3.4175,2.630768021910458
3.41875,2.631779032363936
3.42,2.631442028879444
3.42125,2.632790042817414
3.4225,2.632453039332921
3.42375,2.630094014941473
3.425,2.630431018425965
3.42625,2.630431018425965
3.4275,2.630094014941473
3.42875,2.630768021910458
3.43,2.632116035848429
3.43125,2.631105025394951
3.4325,2.630431018425965
3.43375,2.630431018425965
3.435,2.631442028879444
3.43625,2.632116035848429
3.4375,2.632116035848429
3.43875,2.632116035848429
3.44,2.630431018425965
3.44125,2.630094014941473
3.4425,2.630094014941473
3.44375,2.631105025394951
3.445,2.630431018425965
3.44625,2.631105025394951
3.4475,2.632116035848429
3.44875,2.630094014941473
3.45,2.617961889499735
